
Detected numeric columns: ['advocacy_msg_type_illuminating', 'attack_msg_type_illuminating', 'bookmarkCount', 'covid_topic_illuminating', 'cta_msg_type_illuminating', 'economy_topic_illuminating', 'education_topic_illuminating', 'election_integrity_Truth_illuminating', 'engagement_cta_subtype_illuminating', 'environment_topic_illuminating', 'foreign_policy_topic_illuminating', 'fraud_illuminating', 'freefair_illuminating', 'fundraising_cta_subtype_illuminating', 'governance_topic_illuminating', 'health_topic_illuminating', 'image_msg_type_illuminating', 'immigration_topic_illuminating', 'inReplyToId', 'incivility_illuminating', 'issue_msg_type_illuminating', 'lgbtq_issues_topic_illuminating', 'likeCount', 'military_topic_illuminating', 'quoteCount', 'quoteId', 'race_and_ethnicity_topic_illuminating', 'replyCount', 'retweetCount', 'safety_topic_illuminating', 'scam_illuminating', 'social_and_cultural_topic_illuminating', 'technology_and_privacy_topic_illuminating', 'viewCount', 'voting_cta_subtype_illuminating', 'womens_issue_topic_illuminating']

===== Descriptive Statistics for Entire Dataset =====
Column                                    | Count | Mean                   | Min                   | Max                    | Std                    | Unique | Most Frequent                                                               
===== Grouped by source (first 3 shown) =====

===== Descriptive Statistics for group: source = Twitter for iPhone =====
Column                                    | Count | Mean                   | Min                   | Max                    | Std                    | Unique | Most Frequent                                                               
------------------------------------------+-------+------------------------+-----------------------+------------------------+------------------------+--------+-----------------------------------------------------------------------------
id                                        | 8494  |                        |                       |                        |                        | 8494   | cc46051622b8a9c1b883a3bbf12c640b12ac1cbdc7f48a773b6cc2a65f03aa2d (Count: 1) 
url                                       | 8494  |                        |                       |                        |                        | 8494   | f70a206472e9deaf6e313297c1efb891729ced346a0aeb34e16935d78f74b937 (Count: 1) 
source                                    | 8494  |                        |                       |                        |                        | 1      | Twitter for iPhone (Count: 8494)                                            
retweetCount                              | 8494  | 612.62                 | 0.0                   | 67113.0                | 2155.8                 |        |                                                                             
replyCount                                | 8494  | 289.79                 | 0.0                   | 30215.0                | 1035.9                 |        |                                                                             
likeCount                                 | 8494  | 3741.96                | 0.0                   | 588065.0               | 15955.77               |        |                                                                             
quoteCount                                | 8494  | 43.78                  | 0.0                   | 6552.0                 | 190.68                 |        |                                                                             
viewCount                                 | 8494  | 245622.12              | 9.0                   | 31294362.0             | 954460.3               |        |                                                                             
createdAt                                 | 8494  |                        |                       |                        |                        | 8431   | 2023-09-25 15:22:49 (Count: 3)                                              
lang                                      | 8494  |                        |                       |                        |                        | 9      | en (Count: 8482)                                                            
bookmarkCount                             | 8494  | 69.8                   | 0.0                   | 22901.0                | 402.93                 |        |                                                                             
isReply                                   | 8494  |                        |                       |                        |                        | 2      | False (Count: 6687)                                                         
isRetweet                                 | 8494  |                        |                       |                        |                        | 1      | False (Count: 8494)                                                         
isQuote                                   | 8494  |                        |                       |                        |                        | 2      | False (Count: 6665)                                                         
isConversationControlled                  | 8494  |                        |                       |                        |                        | 2      | False (Count: 8487)                                                         
quoteId                                   | 1856  | 1.7506196547088502e+18 | 7.957424011553833e+17 | 1.8535761683325583e+18 | 6.501073373943887e+16  |        |                                                                             
inReplyToId                               | 1798  | 1.748087775889019e+18  | 1.2400673584227e+18   | 1.8531339084197724e+18 | 3.4555204929893596e+16 |        |                                                                             
month_year                                | 8494  |                        |                       |                        |                        | 15     | 2023-11 (Count: 1347)                                                       
illuminating_scored_message               | 8494  |                        |                       |                        |                        | 8443   | 1d2cc25fad0d66a295d4fafdd590d71d0e027a1d2a58cf5db0c58ba09b930e04 (Count: 11)
election_integrity_Truth_illuminating     | 8168  | 0.04                   | 0.0                   | 1.0                    | 0.2                    |        |                                                                             
advocacy_msg_type_illuminating            | 8168  | 0.5                    | 0.0                   | 1.0                    | 0.5                    |        |                                                                             
issue_msg_type_illuminating               | 8168  | 0.43                   | 0.0                   | 1.0                    | 0.49                   |        |                                                                             
attack_msg_type_illuminating              | 8168  | 0.23                   | 0.0                   | 1.0                    | 0.42                   |        |                                                                             
image_msg_type_illuminating               | 8168  | 0.18                   | 0.0                   | 1.0                    | 0.39                   |        |                                                                             
cta_msg_type_illuminating                 | 8168  | 0.11                   | 0.0                   | 1.0                    | 0.31                   |        |                                                                             
engagement_cta_subtype_illuminating       | 8168  | 0.08                   | 0.0                   | 1.0                    | 0.27                   |        |                                                                             
fundraising_cta_subtype_illuminating      | 8168  | 0.01                   | 0.0                   | 1.0                    | 0.08                   |        |                                                                             
voting_cta_subtype_illuminating           | 8168  | 0.01                   | 0.0                   | 1.0                    | 0.1                    |        |                                                                             
covid_topic_illuminating                  | 8168  | 0.01                   | 0.0                   | 1.0                    | 0.08                   |        |                                                                             
economy_topic_illuminating                | 8168  | 0.1                    | 0.0                   | 1.0                    | 0.3                    |        |                                                                             
education_topic_illuminating              | 8168  | 0.02                   | 0.0                   | 1.0                    | 0.13                   |        |                                                                             
environment_topic_illuminating            | 8168  | 0.03                   | 0.0                   | 1.0                    | 0.16                   |        |                                                                             
foreign_policy_topic_illuminating         | 8168  | 0.05                   | 0.0                   | 1.0                    | 0.23                   |        |                                                                             
governance_topic_illuminating             | 8168  | 0.02                   | 0.0                   | 1.0                    | 0.15                   |        |                                                                             
health_topic_illuminating                 | 8168  | 0.04                   | 0.0                   | 1.0                    | 0.18                   |        |                                                                             
immigration_topic_illuminating            | 8168  | 0.04                   | 0.0                   | 1.0                    | 0.2                    |        |                                                                             
lgbtq_issues_topic_illuminating           | 8168  | 0.0                    | 0.0                   | 1.0                    | 0.06                   |        |                                                                             
military_topic_illuminating               | 8168  | 0.01                   | 0.0                   | 1.0                    | 0.09                   |        |                                                                             
race_and_ethnicity_topic_illuminating     | 8168  | 0.02                   | 0.0                   | 1.0                    | 0.13                   |        |                                                                             
safety_topic_illuminating                 | 8168  | 0.02                   | 0.0                   | 1.0                    | 0.15                   |        |                                                                             
social_and_cultural_topic_illuminating    | 8168  | 0.03                   | 0.0                   | 1.0                    | 0.18                   |        |                                                                             
technology_and_privacy_topic_illuminating | 8168  | 0.0                    | 0.0                   | 1.0                    | 0.04                   |        |                                                                             
womens_issue_topic_illuminating           | 8168  | 0.01                   | 0.0                   | 1.0                    | 0.09                   |        |                                                                             
incivility_illuminating                   | 8168  | 0.14                   | 0.0                   | 1.0                    | 0.35                   |        |                                                                             
scam_illuminating                         | 8168  | 0.01                   | 0.0                   | 1.0                    | 0.1                    |        |                                                                             
freefair_illuminating                     | 8494  | 0.0                    | 0.0                   | 1.0                    | 0.03                   |        |                                                                             
fraud_illuminating                        | 8494  | 0.0                    | 0.0                   | 1.0                    | 0.06                   |        |                                                                             

===== Descriptive Statistics for group: source = Twitter Web App =====
Column                                    | Count | Mean                   | Min                   | Max                   | Std                   | Unique | Most Frequent                                                               
------------------------------------------+-------+------------------------+-----------------------+-----------------------+-----------------------+--------+-----------------------------------------------------------------------------
id                                        | 14930 |                        |                       |                       |                       | 14930  | ca2795ec79d62adc1fff06c4d3bc9da0bbc899e32c9b218798ac62a0ceae19dc (Count: 1) 
url                                       | 14930 |                        |                       |                       |                       | 14930  | c589bd751d7e1d275901b184087716d3155a582b16430810211e1344d3ad2785 (Count: 1) 
source                                    | 14930 |                        |                       |                       |                       | 1      | Twitter Web App (Count: 14930)                                              
retweetCount                              | 14930 | 1317.11                | 0.0                   | 144615.0              | 3571.43               |        |                                                                             
replyCount                                | 14930 | 719.2                  | 0.0                   | 121270.0              | 2689.05               |        |                                                                             
likeCount                                 | 14930 | 6669.75                | 0.0                   | 915221.0              | 22474.43              |        |                                                                             
quoteCount                                | 14930 | 120.05                 | 0.0                   | 123320.0              | 1464.52               |        |                                                                             
viewCount                                 | 14930 | 474031.23              | 5.0                   | 333502775.0           | 3966042.81            |        |                                                                             
createdAt                                 | 14930 |                        |                       |                       |                       | 14720  | 2023-10-06 04:55:21 (Count: 4)                                              
lang                                      | 14930 |                        |                       |                       |                       | 8      | en (Count: 14920)                                                           
bookmarkCount                             | 14930 | 154.31                 | 0.0                   | 42693.0               | 843.39                |        |                                                                             
isReply                                   | 14930 |                        |                       |                       |                       | 2      | False (Count: 13433)                                                        
isRetweet                                 | 14930 |                        |                       |                       |                       | 1      | False (Count: 14930)                                                        
isQuote                                   | 14930 |                        |                       |                       |                       | 2      | False (Count: 13560)                                                        
isConversationControlled                  | 14930 |                        |                       |                       |                       | 1      | False (Count: 14930)                                                        
quoteId                                   | 1390  | 1.7823192049814351e+18 | 7.912639390153769e+17 | 1.853110151030432e+18 | 7.065249493186926e+16 |        |                                                                             
inReplyToId                               | 1482  | 1.7718879486736883e+18 | 1.478768517994492e+18 | 1.853530653414859e+18 | 4.976779272711493e+16 |        |                                                                             
month_year                                | 14930 |                        |                       |                       |                       | 15     | 2024-10 (Count: 2930)                                                       
illuminating_scored_message               | 14930 |                        |                       |                       |                       | 14859  | 36cb7d55fcf85362ca03f624c2f574f1f55f89db559b17da084df6e643afe5cd (Count: 20)
election_integrity_Truth_illuminating     | 14199 | 0.04                   | 0.0                   | 1.0                   | 0.19                  |        |                                                                             
advocacy_msg_type_illuminating            | 14199 | 0.58                   | 0.0                   | 1.0                   | 0.49                  |        |                                                                             
issue_msg_type_illuminating               | 14199 | 0.55                   | 0.0                   | 1.0                   | 0.5                   |        |                                                                             
